Date,Inflation Rate(%),Remittance (in Billons),Treasury Bill,Commercial Bank rates,CPI,Exchange Rate
2015-07,6.9,,,,,
2015-08,7.2,,,,,
2015-09,8.2,,,,,
2015-10,10.4,,,,,
2015-11,11.6,,,,,
2015-12,12.1,,,,,
2016-01,11.3,,,,110.46,
2016-02,10.2,,,,109.8,
2016-03,9.7,,,,109.18,
2016-04,10,,,,109.35,106.54
2016-05,11.1,,,,111.48,106.43
2016-06,10.5,,,,112.44,107.35
2016-07,8.6,51.94,,,112.88,107.86
2016-08,7.9,114.74,2.05,2.56,115.7,107.19
2016-09,6.7,171.8,2.12,3.27,115.5,107.03
2016-10,4.8,232.14,3,3.59,115.66,106.74
2016-11,3.8,287.66,2.34,2.67,116.12,106.92
2016-12,3.2,342.23,1.74,2.71,115.13,108.89
2017-01,3.3,394.57,2.64,4.13,116.12,108.74
2017-02,2.9,449.99,0.74,0.9,115.13,108.5
2017-03,3.8,511.93,0.93,0.75,113.94,106.94
2017-04,3.4,566.97,0.78,2.73,113.38,104.21
2017-05,2.8,633.42,1.03,0.36,115.22,103
2017-06,2.7,695.45,0.71,0.64,115.57,103.12
2017-07,2.3,55.55,0.55,0.29,115.94,103.28
2017-08,3.4,115.55,0.48,0.39,118.34,102.59
2017-09,3.1,176.32,1.18,1.13,119.41,102.45
2017-10,3.9,228.95,2.55,2.68,119.24,103.99
2017-11,4.2,285.48,5.51,4.83,120.59,103.93
2017-12,4,340.54,5.82,4.4,119.92,103.38
2018-01,5,401.35,,,118.5,102.13
2018-02,6,471.86,4.7,4.87,119.04,102.24
2018-03,5.3,540.38,4.98,4.12,119.09,103.65
2018-04,6,606.68,5.15,4.53,119.51,104.1
2018-05,4.1,679.73,4.38,4.18,119.95,106.38
2018-06,4.2,755.06,3.74,6.49,120.32,108.19
2018-07,4.2,73.95,3.31,1.88,121.25,109.45
2018-08,3.9,154.2,2.74,1.68,123.3,110.13
2018-09,4.7,242.17,1.77,1.86,124.03,113.52
2018-10,4.2,312.26,2.2,1.68,124.82,116.93
2018-11,3.7,376.59,1,1.2,125.59,116.93
2018-12,4.6,443.36,0.86,2.84,124.37,113.52
2019-01,4.4,515.55,3.44,5.82,123.92,112.42
2019-02,4.2,582.19,3.55,5.15,124.22,113.99
2019-03,4.4,653.19,4.44,5.28,124.09,113.22
2019-04,5.3,725.3,4.29,6.12,124.81,110.48
2019-05,6.2,799.02,5.5,6.91,126.3,111.42
2019-06,7.1,879.27,4.97,4.52,127.74,111.52
2019-07,6.95,75.4,,,128.55,110.47
2019-08,6.16,153.73,,,131.87,111.56
2019-09,6.21,230.24,,,131.67,114.51
2019-10,5.76,304.97,,,132.56,113.64
2019-11,6.55,376.99,1.64,0.78,132.82,113.78
2019-12,6.82,447.26,3.17,1.76,132.51,114.3
2020-01,6.87,513.21,3.91,4.59,132.38,114.07
2020-02,6.7,592.42,3.97,4.35,132.76,113.98
2020-03,6.74,626.9,,,132.4,115.81
2020-04,5.83,680.84,3.51,4.06,133.22,120.59
2020-05,4.54,774.87,2.81,2.8,133.67,121.61
2020-06,6.15,875.03,1.27,0.35,133.54,121.08
2020-07,3.49,92.71,0.21,0.02,134.69,120.8
2020-08,4.52,165.73,0.13,0.08,136.48,119.84
2020-09,3.79,258.86,0.63,0.11,137.62,118.19
2020-10,4.05,337.72,0.79,0.14,137.58,117.49
2020-11,2.93,416.81,0.6,0.1,138.19,118.4
